Last 20 songs in DB (all users):
ID: cmple862v0000o8uutn5r2jpx | Title: El Blues de la Lumbar | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Wed May 27 2026 23:01:06 GMT-0500 (hora estándar de Colombia)
ID: cmpks4ala0003jcuulpa59xe8 | Title: Mi Niña Hermosa | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Wed May 27 2026 23:00:58 GMT-0500 (hora estándar de Colombia)
ID: cmpnbui7r000104l2btrhhnqq | Title: Vibración de Zion | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Wed May 27 2026 19:01:36 GMT-0500 (hora estándar de Colombia)
ID: cmpn5w8fs000104kz3io78h5c | Title: Susurros al Crepúsculo | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Wed May 27 2026 18:28:07 GMT-0500 (hora estándar de Colombia)
ID: cmpnddvge000204l2n8n0mpq9 | Title: Aventura en el Reino de Cobre | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Tue May 26 2026 20:15:00 GMT-0500 (hora estándar de Colombia)
ID: cmpnbguak000004l2vtmg7yjt | Title: Danza del Sistema Solar | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Tue May 26 2026 19:19:12 GMT-0500 (hora estándar de Colombia)
ID: cmpn5r5g9000004kzxc2zml4o | Title: Carnaval del Barrio | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Tue May 26 2026 16:39:15 GMT-0500 (hora estándar de Colombia)
ID: cmpn5g8pc0004ekuub4m2yanh | Title: Tempestad en Do Menor | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Tue May 26 2026 16:33:35 GMT-0500 (hora estándar de Colombia)
ID: cmpn551l70003ekuus7r5pxbv | Title: Horizonte de Eventos | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Tue May 26 2026 16:22:04 GMT-0500 (hora estándar de Colombia)
ID: cmpn3u6hv0002ekuuf46ejs09 | Title: Horizonte de Eventos | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Tue May 26 2026 15:45:37 GMT-0500 (hora estándar de Colombia)
ID: cmpn2qgpy0001ekuuiw0ya6nt | Title: Mapa Infinito | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Tue May 26 2026 15:20:38 GMT-0500 (hora estándar de Colombia)
ID: cmpbni8fn0000touuokhbsdvg | Title: Ecos de un Mañana | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Mon May 25 2026 19:11:23 GMT-0500 (hora estándar de Colombia)
ID: cmpk88v470003zguugmg1txwd | Title: Contigo Soy Eterno | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Mon May 25 2026 19:06:07 GMT-0500 (hora estándar de Colombia)
ID: cmpksdnni0004jcuujaonwjo2 | Title: Solo Conmigo | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Mon May 25 2026 01:34:17 GMT-0500 (hora estándar de Colombia)
ID: cmpketm0p0000jcuus0jqhc7e | Title: Tú eres mi lugar | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Mon May 25 2026 00:06:12 GMT-0500 (hora estándar de Colombia)
ID: cmpk6tppd0002zguuvmc7u0gc | Title: Contigo Soy Eterno | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Sun May 24 2026 14:49:48 GMT-0500 (hora estándar de Colombia)
ID: cmpk60skv0001zguu1b8zd4x1 | Title: Contigo Soy Eterno | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Sun May 24 2026 14:28:52 GMT-0500 (hora estándar de Colombia)
ID: cmpk5lwbk0000zguu3dvzk0fz | Title: Contigo Soy Eterno | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Sun May 24 2026 14:16:14 GMT-0500 (hora estándar de Colombia)
ID: cmpj9jsfw000004l1y8075uwx | Title: A Tu Lado | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Sun May 24 2026 13:21:37 GMT-0500 (hora estándar de Colombia)
ID: cmpjcpxzn000004jjv8suv9ag | Title: Singularidad Cósmica | UserID: RYalBHV941jFWCGkoM1vI6yE2xsSYTvT | UpdatedAt: Sun May 24 2026 12:52:51 GMT-0500 (hora estándar de Colombia)
